0, 0, Header, 0, 1, 960
1, 0, Start_track
1, 0, Note_on_c, 0, 36, 127
1, 240, Note_off_c, 0, 36, 0
1, 240, Note_on_c, 0, 37, 127
1, 480, Note_off_c, 0, 37, 0
1, 480, Note_on_c, 0, 38, 127
1, 720, Note_off_c, 0, 38, 0
1, 720, Note_on_c, 0, 39, 127
1, 960, Note_off_c, 0, 39, 0
1, 960, Note_on_c, 0, 40, 127
1, 1200, Note_off_c, 0, 40, 0
1, 1200, Note_on_c, 0, 41, 127
1, 1440, Note_off_c, 0, 41, 0
1, 1440, Note_on_c, 0, 42, 127
1, 1680, Note_off_c, 0, 42, 0
1, 1680, Note_on_c, 0, 43, 127
1, 1920, Note_off_c, 0, 43, 0
1, 1920, Note_on_c, 0, 44, 127
1, 2160, Note_off_c, 0, 44, 0
1, 2160, Note_on_c, 0, 45, 127
1, 2400, Note_off_c, 0, 45, 0
1, 2400, Note_on_c, 0, 46, 127
1, 2640, Note_off_c, 0, 46, 0
1, 2640, Note_on_c, 0, 47, 127
1, 2880, Note_off_c, 0, 47, 0
1, 2880, Control_c, 0, 123, 0
1, 2880, End_track
0, 0, End_of_file
